,age,image_name_unlabelled,image_name_labelled/transect(T),Folder ,Comment
B2025/00013,4,B2025-00013 (1),B2025-00013 (1) Labelled; B2025-00013 (1)T,Nora,
B2025/00052,4,B2025-00052 (1),B2025-00052 (1) Labelled; B2025-00052 (1)T,Nora,
B2024/05143,1,B2024-05143 (1),B2024-05143 (1) Labelled; B2024-05143 (1)T,Nora,
B2024/04767,6,B2024-04767 (1),B2024-04767 (1) Labelled; B2024-04767 (1)T,Nora,
B2024/01864,7,B2024-01864 (1),B2024-01864 (1) Labelled; B2024-01864 (1)T,Nora,Accessory line after 1st year
B2024/04589,3,B2024-04589 (1),B2024-04589 (1) Labelled; B2024-04589 (1)T; B2024-04589 (2)T,Nora,
B2024/04589,3,B2024-04589 (2),B2024-04589 (2)T,Nora,
B2024/06223,18,B2024-06223 (1),B2024-06223 (1)T,Nora,
B2024/06223,18,B2024-06223 (2),B2024-06223 (2)T,Nora,
B2024/05145,1,B2024-05145,B2024-05145T,Nora,
B2024/05147,2,B2024-05147 (1),B2024-05147 (1)T,Nora,
B2024/05147,2,B2024-05147 (2),B2024-05147 (2)T,Nora,
B2023/03383,7,B2023-03383,B2023-03383T ,Nora,
A2019/05378,46,A2019-05378,A2019-05378T,Nora,"This is very hard, so only do this for funsies and don't spend too much time on it ;)"
B2024/04595,1,B2024-04995,B2024-04995T,Nora,
B2024/03884,3,B2024-03884 (1),B2024-03884 (1)T,Nora,
C2009/10158 ,2,C2009-10158 (1),C2009-10158 (1)T,Nora,
B2022/03609,3,B2022-03609 (1),B2022-03609 (1)T,Nora,"I disagree, on image there are 3 clear GLGs, dark band goes along the junction (=not a GLG)"
B2024/00008,2,B2024-00008 (1),B2024-00008 (1)T,Nora,
2020-96,3,2020-96,2020-96T,Nora,
2020-113,3,2020-113,2020-113T,Nora,
2020-88,2,2020-88,2020-88T,Nora,
2020-105,11,2020-105 (1),2020-105 (1)T,Nora,
2020-105 ,11,2020-105 (2),2020-105 (2)T,Nora,
2020-99,5,2020-99,2020-99T,Nora,
2020-115,10,2020-115 (1),2020-115 (1)T,Nora,
2020-89,3,2020-89,2020-89T,Nora,
2020-119,2,2020-119,2020-119T,Nora,
2020-106,3,2020-106 (1),2020-106 (1)T,Nora,Accessory line before 1st GLG
2020-106,3,2020-106 (2),2020-106 (2)T,Nora,
2020-117,3,2020-117,2020-117T,Nora,"Poor image, only 2 clearly visible"
2020-131,5,2020-131,2020-131T,Nora,
2020-121,3,2020-121,2020-121T,Nora,
2020-91,2,2020-91,2020-91T,Nora,Accessory lines between each GLG
2020-93,1,2020-93,2020-93T,Nora,Poor image
2020-97,1,2020-97,2020-97T,Nora,
2020-132,5,2020-132 (1),2020-132 (1)T,Nora,
2020-132,5,2020-132 (2),2020-132 (1)T,Nora,
C2003/05275,9,C2003-05275a,C2003-05275aT,Nora,
