image_id,true_age,pred_age,error,abs_error
2019-01,1,2,1,1
2019-02,2,5,3,3
2019-03 (1),18,13,-5,5
2019-03 (2),18,25,7,7
2019-04,8,9,1,1
2019-06,5,12,7,7
2019-07,1,4,3,3
2019-12,1,3,2,2
2019-15,1,3,2,2
2019-17,1,3,2,2
2019-19,1,2,1,1
2019-20,1,2,1,1
2019-21,1,2,1,1
2019-22,1,3,2,2
2019-24,2,8,6,6
2019-26,2,7,5,5
2019-27,4,5,1,1
2019-28,9,10,1,1
2019-29,2,2,0,0
2019-30,5,5,0,0
2019-31,2,9,7,7
2019-32,1,1,0,0
2019-33,5,10,5,5
2019-34,1,2,1,1
2019-35,2,2,0,0
2019-36,1,3,2,2
2019-39,2,3,1,1
2019-40,1,1,0,0
2019-41,4,4,0,0
2020-04,26,18,-8,8
2020-105 (1),9,12,3,3
2020-105 (2),9,11,2,2
2020-106 (1),3,2,-1,1
2020-106 (2),3,4,1,1
2020-107,2,5,3,3
2020-112,2,4,2,2
2020-113,3,2,-1,1
2020-115 (1),9,12,3,3
2020-115 (2),9,17,8,8
2020-116,2,5,3,3
2020-117,2,6,4,4
2020-119,2,3,1,1
2020-121,3,3,0,0
2020-122,2,5,3,3
2020-131,4,1,-3,3
2020-132 (1),5,4,-1,1
2020-132 (2),5,16,11,11
2020-88,1,3,2,2
2020-89,2,4,2,2
2020-91,3,3,0,0
2020-93,1,2,1,1
2020-96,2,3,1,1
2020-97,1,2,1,1
2020-99,4,6,2,2
A2019-05378,38,19,-19,19
B2022-03609 (1),3,3,0,0
B2023-03383,7,10,3,3
B2024-01864 (1),7,7,0,0
B2024-04589 (1),3,5,2,2
B2024-04767 (1),6,9,3,3
B2024-05143 (1),1,1,0,0
B2024-06223 (1),18,37,19,19
B2024-6223 (2),18,19,1,1
B2025-00052 (1),4,7,3,3
C20055175,2,3,1,1
c20065102,16,20,4,4
